Zone,Code zone,Kcal_vegetaux,Kcal_animaux,Population_milliers,SousAlimentation_millions,Disponibilite_calorique_totale_kcal,Population_totale,Taux_sousnutrition_pct,Part_animaux_pct,Continent,ISO3
Grenade,86,1864.0,578.0,106,,2442.0,106000,,23.669123669123667,America,GRD
Grèce,84,2593.0,801.0,11128,,3394.0,11128000,,23.600471420153212,Europe,GRC
Guatemala,89,2161.0,255.0,15468,2.5,2416.0,15468000,16.16239979312128,10.554635761589404,America,GTM
Guinée,90,2448.0,119.0,11745,1.8,2567.0,11745000,15.32567049808429,4.635761589403973,Africa,GIN
Guinée-Bissau,175,2120.0,168.0,1704,0.4,2288.0,1704000,23.474178403755868,7.3426573426573425,Africa,GNB
Guyana,91,2292.0,470.0,800,,2762.0,800000,,17.016654598117306,America,GUY
Géorgie,73,2401.0,501.0,4341,0.3,2902.0,4341000,6.91085003455425,17.26395589248794,Asia,GEO
Haïti,93,1935.0,154.0,10317,5.2,2089.0,10317000,50.40224871571193,7.371948300622308,America,HTI
Honduras,95,2277.0,362.0,8096,1.3,2639.0,8096000,16.057312252964426,13.717317165593027,America,HND
Hongrie,97,2149.0,885.0,9955,,3034.0,9955000,,29.169413315754777,Europe,HUN
Inde,100,2219.0,235.0,1252140,216.3,2454.0,1252140000,17.274426182375773,9.576202118989405,Asia,IND
Indonésie,101,2594.0,182.0,249866,22.6,2776.0,249866000,9.044848038548665,6.556195965417867,Asia,IDN
Iran (République islamique d'),102,2784.0,305.0,77447,4.2,3089.0,77447000,5.423063514403399,9.873745548721269,Asia,IRN
Iraq,103,2376.0,166.0,33765,9.1,2542.0,33765000,26.95098474751962,6.530291109362707,Asia,IRQ
Irlande,104,2598.0,1004.0,4627,,3602.0,4627000,,27.873403664630757,Europe,IRL
Islande,99,1884.0,1497.0,330,,3381.0,330000,,44.27684117125111,Europe,ISL
Israël,105,2793.0,817.0,7733,,3610.0,7733000,,22.63157894736842,Asia,ISR
Italie,106,2677.0,901.0,60990,,3578.0,60990000,,25.181665735047513,Europe,ITA
Jamaïque,109,2230.0,512.0,2784,0.3,2742.0,2784000,10.775862068965516,18.672501823486506,America,JAM
Japon,110,2202.0,545.0,127144,,2747.0,127144000,,19.839825263924283,Asia,JPN
Jordanie,112,2747.0,352.0,7274,0.9,3099.0,7274000,12.372834753918063,11.358502742820264,Asia,JOR
Kazakhstan,108,2330.0,932.0,16441,,3262.0,16441000,,28.57142857142857,Asia,KAZ
Kenya,114,1929.0,276.0,44354,10.0,2205.0,44354000,22.545880867565497,12.51700680272109,Africa,KEN
Kirghizistan,113,2200.0,617.0,5548,0.4,2817.0,5548000,7.209805335255948,21.90273340433085,Asia,KGZ
Kiribati,83,2685.0,357.0,102,,3042.0,102000,,11.735700197238659,Oceania,KIR
Koweït,118,2794.0,705.0,3369,,3499.0,3369000,,20.148613889682768,Asia,KWT
Lesotho,122,2364.0,164.0,2074,0.3,2528.0,2074000,14.464802314368368,6.487341772151899,Africa,LSO
Lettonie,119,2266.0,906.0,2050,,3172.0,2050000,,28.562421185372006,Europe,LVA
Liban,121,2633.0,426.0,4822,0.5,3059.0,4822000,10.369141435089174,13.926119646943446,Asia,LBN
Libéria,123,2105.0,101.0,4294,1.6,2206.0,4294000,37.26129482999534,4.57842248413418,Africa,LBR
Lituanie,126,2432.0,982.0,3017,,3414.0,3017000,,28.763913298183947,Europe,LTU
Luxembourg,256,2366.0,1174.0,530,,3540.0,530000,,33.163841807909606,Europe,LUX
Macédoine du Nord,154,2396.0,550.0,2107,,2946.0,2107000,,18.6693822131704,Europe,MKD
Madagascar,129,1907.0,149.0,22925,8.2,2056.0,22925000,35.76881134133042,7.247081712062258,Africa,MDG
Malaisie,131,2378.0,536.0,29717,1.0,2914.0,29717000,3.365077228522394,18.393960192175705,Asia,MYS
Malawi,130,2225.0,139.0,16363,3.2,2364.0,16363000,19.556316078958627,5.879864636209814,Africa,MWI
Maldives,132,1913.0,820.0,345,,2733.0,345000,,30.003658982802783,Asia,MDV
Mali,133,2520.0,367.0,15302,1.0,2887.0,15302000,6.535093451836362,12.712157949428473,Africa,MLI
Malte,134,2447.0,927.0,429,,3374.0,429000,,27.474807350326024,Europe,MLT
Maroc,143,3071.0,331.0,33008,1.4,3402.0,33008000,4.241396025206011,9.729570840681951,Africa,MAR
Maurice,137,2613.0,454.0,1244,,3067.0,1244000,,14.802738832735574,Africa,MUS
Mauritanie,136,2384.0,491.0,3890,0.3,2875.0,3890000,7.712082262210797,17.078260869565216,Africa,MRT
Mexique,138,2441.0,627.0,122332,5.3,3068.0,122332000,4.332472288526305,20.4367666232073,America,MEX
Mongolie,141,1679.0,830.0,2839,0.5,2509.0,2839000,17.611835153222966,33.08090872857712,Asia,MNG
Monténégro,273,2368.0,1122.0,621,,3490.0,621000,,32.14899713467049,Europe,MNE
Mozambique,144,2179.0,103.0,25834,7.0,2282.0,25834000,27.096074940001547,4.513584574934268,Africa,MOZ
Myanmar,28,2145.0,429.0,53259,6.6,2574.0,53259000,12.392271728721903,16.666666666666664,Asia,MMR
Namibie,147,1877.0,289.0,2303,0.7,2166.0,2303000,30.3951367781155,13.342566943674978,Africa,NAM
Nicaragua,157,2313.0,325.0,6080,1.1,2638.0,6080000,18.09210526315789,12.319939347990902,America,NIC
Niger,158,2344.0,205.0,17831,1.9,2549.0,17831000,10.655599798104424,8.042369556688897,Africa,NER
Nigéria,159,2596.0,104.0,173615,13.4,2700.0,173615000,7.7182271117126975,3.851851851851852,Africa,NGA
Norvège,162,2381.0,1102.0,5043,,3483.0,5043000,,31.63939132931381,Europe,NOR
Nouvelle-Calédonie,153,2062.0,793.0,256,,2855.0,256000,,27.775831873905428,Oceania,NCL
Nouvelle-Zélande,156,2151.0,985.0,4506,,3136.0,4506000,,31.409438775510207,Oceania,NZL
Népal,149,2465.0,207.0,27797,2.5,2672.0,27797000,8.993776306795699,7.747005988023951,Asia,NPL
Oman,221,2497.0,643.0,3632,0.2,3140.0,3632000,5.506607929515418,20.477707006369428,Asia,OMN
